ID_MEDICION,CODIGO_MODELO,METRICA,VALOR,FECHA_MEDICION,TIPO_CARGA
27,fraudeoriginacion,Gain1,85.0000,1/2/2020 12:00am,Manual
66,fraudeoriginacion,Gain1,60.0000,1/3/2020 12:00am,Manual
28,fraudeoriginacion,Gain1,51.0000,1/4/2020 12:00am,Manual
29,fraudeoriginacion,Gain1,21.0000,1/5/2020 1:13pm,Manual
77,fraudetransaccional,Gain1,7.0000,31/1/2020 5:33pm,Manual
78,fraudetransaccional,Gain1,4.0000,29/2/2020 5:34pm,Manual
79,fraudetransaccional,Gain1,4.0000,31/3/2020 5:34pm,Manual
168,inactividadcomercios,Gain30,90.0000,23/5/2020 12:32pm,Manual
167,inactividadcomercios,KS30,0.6900,23/5/2020 12:32pm,Manual
74,inactividadfinanciera,Gain30,80.2000,21/4/2020 9:58pm,Manual
75,inactividadfinanciera,KS30,0.6260,21/4/2020 9:58pm,Manual
69,noactivacion,KS20,0.4300,29/4/2020 9:43pm,Manual
70,noactivacion,Precision,0.6600,29/4/2020 9:44pm,Manual
71,noactivacion,Recall,0.2300,29/4/2020 9:45pm,Manual
72,noactivacion,F1,0.3500,29/4/2020 9:47pm,Manual
171,propensionbajasegurosapcg,Gain20,82.1000,1/5/2020 12:51pm,Manual
172,propensionbajasegurosapcg,KS20,0.7140,1/5/2020 12:52pm,Manual
193,propensionbajasegurosapcg,Gain20,83.0000,10/6/2020 9:37am,Manual
194,propensionbajasegurosapcg,KS20,0.7120,10/6/2020 9:38am,Manual
73,propensionbajasrevistas,KS20,0.6720,25/3/2020 9:48pm,Manual
169,propensionbajasrevistas,KS20,0.6310,9/6/2020 12:36pm,Manual
170,propensionbajasrevistas,Gain20,68.6000,9/6/2020 12:37pm,Manual
93,recomendacionpromociones,Coverage,0.7548,29/1/2020 6:18pm,Manual
166,recomendacionpromociones,Mean_Reciprocal_Rank,0.6795,29/1/2020 6:18pm,Manual
136,recomendacionpromociones,NDCG5,0.7366,29/1/2020 6:18pm,Manual
146,recomendacionpromociones,NDCG10,0.7618,29/1/2020 6:18pm,Manual
156,recomendacionpromociones,NDCG25,0.7824,29/1/2020 6:18pm,Manual
106,recomendacionpromociones,Precision5,0.1569,29/1/2020 6:18pm,Manual
116,recomendacionpromociones,Precision10,0.0858,29/1/2020 6:18pm,Manual
126,recomendacionpromociones,Precision25,0.0376,29/1/2020 6:18pm,Manual
92,recomendacionpromociones,Coverage,0.7835,17/2/2020 6:18pm,Manual
165,recomendacionpromociones,Mean_Reciprocal_Rank,0.7070,17/2/2020 6:18pm,Manual
135,recomendacionpromociones,NDCG5,0.7670,17/2/2020 6:18pm,Manual
145,recomendacionpromociones,NDCG10,0.7910,17/2/2020 6:18pm,Manual
155,recomendacionpromociones,NDCG25,0.8080,17/2/2020 6:18pm,Manual
105,recomendacionpromociones,Precision5,0.1627,17/2/2020 6:18pm,Manual
115,recomendacionpromociones,Precision10,0.0883,17/2/2020 6:18pm,Manual
125,recomendacionpromociones,Precision25,0.0380,17/2/2020 6:18pm,Manual
91,recomendacionpromociones,Coverage,0.7031,27/2/2020 6:18pm,Manual
164,recomendacionpromociones,Mean_Reciprocal_Rank,0.7418,27/2/2020 6:18pm,Manual
134,recomendacionpromociones,NDCG5,0.8069,27/2/2020 6:18pm,Manual
144,recomendacionpromociones,NDCG10,0.8286,27/2/2020 6:18pm,Manual
154,recomendacionpromociones,NDCG25,0.8408,27/2/2020 6:18pm,Manual
104,recomendacionpromociones,Precision5,0.1707,27/2/2020 6:18pm,Manual
114,recomendacionpromociones,Precision10,0.0916,27/2/2020 6:18pm,Manual
124,recomendacionpromociones,Precision25,0.0386,27/2/2020 6:18pm,Manual
90,recomendacionpromociones,Coverage,0.8020,17/3/2020 6:18pm,Manual
163,recomendacionpromociones,Mean_Reciprocal_Rank,0.7832,17/3/2020 6:18pm,Manual
133,recomendacionpromociones,NDCG5,0.8337,17/3/2020 6:18pm,Manual
143,recomendacionpromociones,NDCG10,0.8502,17/3/2020 6:18pm,Manual
153,recomendacionpromociones,NDCG25,0.8616,17/3/2020 6:18pm,Manual
103,recomendacionpromociones,Precision5,0.1736,17/3/2020 6:18pm,Manual
113,recomendacionpromociones,Precision10,0.0916,17/3/2020 6:18pm,Manual
123,recomendacionpromociones,Precision25,0.0384,17/3/2020 6:18pm,Manual
89,recomendacionpromociones,Coverage,0.8477,27/3/2020 6:17pm,Manual
162,recomendacionpromociones,Mean_Reciprocal_Rank,0.7907,27/3/2020 6:17pm,Manual
132,recomendacionpromociones,NDCG5,0.8317,27/3/2020 6:17pm,Manual
142,recomendacionpromociones,NDCG10,0.8478,27/3/2020 6:17pm,Manual
152,recomendacionpromociones,NDCG25,0.8599,27/3/2020 6:17pm,Manual
102,recomendacionpromociones,Precision5,0.1721,27/3/2020 6:17pm,Manual
112,recomendacionpromociones,Precision10,0.0907,27/3/2020 6:17pm,Manual
122,recomendacionpromociones,Precision25,0.0382,27/3/2020 6:17pm,Manual
88,recomendacionpromociones,Coverage,0.8347,30/3/2020 6:17pm,Manual
161,recomendacionpromociones,Mean_Reciprocal_Rank,0.7848,30/3/2020 6:17pm,Manual
131,recomendacionpromociones,NDCG5,0.8290,30/3/2020 6:17pm,Manual
141,recomendacionpromociones,NDCG10,0.8453,30/3/2020 6:17pm,Manual
151,recomendacionpromociones,NDCG25,0.8578,30/3/2020 6:17pm,Manual
101,recomendacionpromociones,Precision5,0.1727,30/3/2020 6:17pm,Manual
111,recomendacionpromociones,Precision10,0.0911,30/3/2020 6:17pm,Manual
121,recomendacionpromociones,Precision25,0.0384,30/3/2020 6:17pm,Manual
87,recomendacionpromociones,Coverage,0.7477,14/4/2020 6:17pm,Manual
160,recomendacionpromociones,Mean_Reciprocal_Rank,0.7629,14/4/2020 6:17pm,Manual
130,recomendacionpromociones,NDCG5,0.8164,14/4/2020 6:17pm,Manual
140,recomendacionpromociones,NDCG10,0.8330,14/4/2020 6:17pm,Manual
150,recomendacionpromociones,NDCG25,0.8471,14/4/2020 6:17pm,Manual
100,recomendacionpromociones,Precision5,0.1708,14/4/2020 6:17pm,Manual
110,recomendacionpromociones,Precision10,0.0902,14/4/2020 6:17pm,Manual
120,recomendacionpromociones,Precision25,0.0383,14/4/2020 6:17pm,Manual
25,recomendacionpromociones,Coverage,0.7321,28/4/2020 10:10am,Manual
159,recomendacionpromociones,Mean_Reciprocal_Rank,0.8187,28/4/2020 10:10am,Manual
129,recomendacionpromociones,NDCG5,0.8699,28/4/2020 10:10am,Manual
139,recomendacionpromociones,NDCG10,0.8835,28/4/2020 10:10am,Manual
149,recomendacionpromociones,NDCG25,0.8942,28/4/2020 10:10am,Manual
99,recomendacionpromociones,Precision5,0.1805,28/4/2020 10:10am,Manual
109,recomendacionpromociones,Precision10,0.0942,28/4/2020 10:10am,Manual
119,recomendacionpromociones,Precision25,0.0394,28/4/2020 10:10am,Manual
37,recomendacionpromociones,Coverage,0.7893,11/5/2020 11:30am,Manual
158,recomendacionpromociones,Mean_Reciprocal_Rank,0.8304,11/5/2020 11:30am,Manual
128,recomendacionpromociones,NDCG5,0.8785,11/5/2020 11:30am,Manual
138,recomendacionpromociones,NDCG10,0.8926,11/5/2020 11:30am,Manual
148,recomendacionpromociones,NDCG25,0.9006,11/5/2020 11:30am,Manual
98,recomendacionpromociones,Precision5,0.1820,11/5/2020 11:30am,Manual
