id;createdTime;DEFINICION;UNIDAD_MEDIDA;CONFUSION_MATRIX;METRICA;COD_METRICA;MEDICION_METRICAS;UMBRALES;DECIL
rec0PHpPUYRyFvI2K;2020-05-16T14:17:48.000Z;False Negatives;Numerico;True;FN;FN;;;
rec1xistMWeE0KKml;2020-05-09T15:40:49.000Z;NDCG_at_25;Numerico;False;NDCG;NDCG25;['recWPVHOo1ulY7A7v', 'recXGqx9ECEneuta4', 'rec4KSDqGjMTV4k08', 'recf2RPIFwa96EkO9', 'recNx2DtttMVeTp3R', 'recXUMOgb8wmASWnl', 'recF1zgow7O32tdXR', 'recXxiWdiL6XqtvAw', 'recPY4ZGDshpHOa9z', 'recjpUFYsbDAqaEmk', 'reccWGdcOOarn9cYz'];['rec7MxyYmq5d8mZ8q'];25
rec5h9Pn336ZrO9Fw;2020-05-09T15:40:48.000Z;NDCG_at_10;Numerico;False;NDCG;NDCG10;['recqyg9e9uQ7osGTa', 'recZDVK8ki4BUjpSt', 'recwPb99MmrFIBq0E', 'recTIoO1zWkW2i0oY', 'rectWVCqgWaSjVw29', 'recwYwFdhWRbp6Cgg', 'recXakzBeLLgQomm2', 'recm6PGhBrkpUMFv5', 'recQion87jmwecrHq', 'recQ7qkiUOXyujLsd', 'recIo4QbOz95TwhQ6'];['rec7OsPpaXWvx9fd0'];10
rec81xw5f1J3kCbSf;2020-05-09T16:05:08.000Z;Ganancia en el primer 20% ;Porcentaje;False;Gain;Gain20;['recM6bZJilQUT2A6u', 'recnTHcguvLPniyn8', 'recMy9N77CWfOhM5z', 'recwS191yjoStJSm3'];['rec2LEHoN0oysL5wn', 'recOreWkZsgTGyEzS', 'recf1BLgYaHTVlaOl', 'recSqBuTlhpBBQNU8'];20
rec9RVJnupV6lA2mJ;2020-05-09T15:40:17.000Z;Precision_at_25;Numerico;False;Precision;Precision25;['recfwAgpkiYXfTnOt', 'recwiGYigk2zCeUwF', 'recHCpezEG0ceh4mx', 'recN75OXFL5IAAMis', 'recQ2lr4PSJHKqsbm', 'recQAHk15CZa3qU7m', 'recma9XQDUX630vtY', 'recKMfkgh5qYfpzqu', 'reckhAV2nnPV1XsOq', 'recS8ATLwJevyh6Nl', 'recqx3gbgLFnH9cpZ'];['reccQxBvokryL3ZMj'];25
recDIoU3kdB5I46Lq;2020-05-16T14:20:16.000Z;Limite aplicado para Confusion Matrix;Numerico;True;Threshold;Threshold;;;
recHUbKQOWpS6BYGz;2020-05-09T15:41:34.000Z;Mean_Reciprocal_Rank;Numerico;False;Mean_Reciprocal_Rank;Mean_Reciprocal_Rank;['recVU85xysq7gEI9p', 'recQ8NNmCubOip6Ap', 'recw1BdkOwItKTFQs', 'rec3LNm1cXg303H6s', 'reclYMHgJnhF6Yfgn', 'recG8vExbPo3Xknve', 'recfx38ppCWE4LFp3', 'recHAcpz15PY5F04V', 'recC51gTkIVBdqtgs', 'recDOSzC1MZCZS8PE', 'rec9M8ZbGZfhCW833'];['recxzobqbWhCQwdzo'];
recJSw1HFBmqFvMQT;2020-05-20T00:18:40.000Z;Precision;Numerico;False;Precision;Precision;['rec2N3qzocf0mOeAl'];['recx1zd8OVrUgN9Zg'];
recKpmQWGIzF8Xjhh;2020-05-20T00:24:28.000Z;Recall;Numerico;False;Recall;Recall;['recOVE1qxB1cqsJFn'];['rec5hHiROSNNWUpom'];
recNV5QcZPMaTMShN;2020-05-20T00:24:34.000Z;Ganancia en el primer 30%;Porcentaje;False;Gain;Gain30;['rect9ge1MNHR6LKDJ', 'recxTweBTjCtST5Md'];['recpW0dFmhpjqBmlJ', 'rech5SQHXjql57nlZ'];30
recPGHvTf2UTDc1AF;2020-05-16T14:14:01.000Z;True Negatives;Numerico;True;TN;TN;;;
recYoi2Haywrfwoyl;2020-05-09T16:04:25.000Z;Ganancia en el primer 1% ;Porcentaje;False;Gain;Gain1;['recBamgxVH2HdkE1x', 'recwB9EzG1ioEZ7Tx', 'recnpUmRQMQxJYtgR', 'rechLtYlv2nrLM3TH', 'recylV7p2xLKvjGS9', 'recIrPBE88mlhOVWC', 'recnaHXXygaSgepWt'];['recokStJdAU97kwog', 'recvHAbyYtqfAl9j4', 'recdh9DNm7s45cTLP'];1
