id;createdTime;ID_MEDICION;CODIGO_MODELO;METRICA;VALOR;FECHA_MEDICION;TIPO_CARGA
rec0dkBqrd4GoIFRF;2020-06-06T21:25:51.000Z;112;['recSEwrC2O3ovnA5X'];['recl9raxpjCpYkuZP'];0.0907;2020-03-27T18:17:00.000Z;Manual
rec2N3qzocf0mOeAl;2020-05-20T00:44:06.000Z;70;['recryuNZFVbtSk92K'];['recJSw1HFBmqFvMQT'];0.66;2020-04-29T21:44:00.000Z;Manual
rec3LNm1cXg303H6s;2020-06-06T21:31:12.000Z;160;['recSEwrC2O3ovnA5X'];['recHUbKQOWpS6BYGz'];0.7629;2020-04-14T18:17:00.000Z;Manual
rec3bWzIYsJpUqFuN;2020-06-09T20:48:46.000Z;191;['recSEwrC2O3ovnA5X'];['recl9raxpjCpYkuZP'];0.0942;2020-06-09T17:50:00.000Z;Manual
rec4KSDqGjMTV4k08;2020-06-06T21:30:11.000Z;149;['recSEwrC2O3ovnA5X'];['rec1xistMWeE0KKml'];0.8942;2020-04-28T10:10:00.000Z;Manual
rec6YYs8pmfbuZgMp;2020-05-20T00:46:53.000Z;72;['recryuNZFVbtSk92K'];['rechoH1koxdMtaHG3'];0.35;2020-04-29T21:47:00.000Z;Manual
rec6lmqKgaEQCJqlJ;2020-06-06T21:25:58.000Z;114;['recSEwrC2O3ovnA5X'];['recl9raxpjCpYkuZP'];0.0916;2020-02-27T18:18:00.000Z;Manual
rec70n6V8VZpQEkPu;2020-06-10T12:37:44.000Z;194;['recNErAHoNJWIdKcb'];['recbKuTK5JC1pGKbk'];0.712;2020-06-10T09:38:00.000Z;Manual
rec7D6uSBFRWCAzi3;2020-06-06T21:25:46.000Z;108;['recSEwrC2O3ovnA5X'];['recl9raxpjCpYkuZP'];0.0951;2020-05-11T11:30:00.000Z;Manual
rec7hl4ZTeaEvcT7N;2020-06-06T21:15:19.000Z;93;['recSEwrC2O3ovnA5X'];['recasEDF0P6MHOt6p'];0.7548;2020-01-29T18:18:00.000Z;Manual
rec9M8ZbGZfhCW833;2020-06-09T20:48:15.000Z;186;['recSEwrC2O3ovnA5X'];['recHUbKQOWpS6BYGz'];0.8004;2020-06-09T17:50:00.000Z;Manual
rec9pVpHGYiKIk8Ai;2020-06-06T21:25:39.000Z;104;['recSEwrC2O3ovnA5X'];['reclorU08L7PQsksS'];0.1707;2020-02-27T18:18:00.000Z;Manual
recAsjGQe8tXdud47;2020-06-06T21:25:24.000Z;98;['recSEwrC2O3ovnA5X'];['reclorU08L7PQsksS'];0.182;2020-05-11T11:30:00.000Z;Manual
recBamgxVH2HdkE1x;2020-05-09T16:10:33.000Z;27;['recrisgF5hqZ4NFRV'];['recYoi2Haywrfwoyl'];85;2020-02-01T00:00:00.000Z;Manual
recBm1zxeIRLDHYPy;2020-06-06T21:26:03.000Z;129;['recSEwrC2O3ovnA5X'];['recuvTDABHnU7W5JX'];0.8699;2020-04-28T10:10:00.000Z;Manual
recC51gTkIVBdqtgs;2020-06-06T21:31:12.000Z;165;['recSEwrC2O3ovnA5X'];['recHUbKQOWpS6BYGz'];0.707;2020-02-17T18:18:00.000Z;Manual
recCYjs7AYJvBVl9Z;2020-06-06T21:14:50.000Z;88;['recSEwrC2O3ovnA5X'];['recasEDF0P6MHOt6p'];0.8347;2020-03-30T18:17:00.000Z;Manual
recCpha2rKk4SSp5s;2020-06-06T21:25:58.000Z;116;['recSEwrC2O3ovnA5X'];['recl9raxpjCpYkuZP'];0.0858;2020-01-29T18:18:00.000Z;Manual
recD143kOepzwK1I0;2020-06-06T21:15:16.000Z;92;['recSEwrC2O3ovnA5X'];['recasEDF0P6MHOt6p'];0.7835;2020-02-17T18:18:00.000Z;Manual
