id;createdTime;ID_UMBRAL;COD_METRICA;COD_MODELO;UMBRAL;INTERPRETACION;FECHA_ALTA
rec2LEHoN0oysL5wn;2020-05-19T18:14:20.000Z;18;['rec81xw5f1J3kCbSf'];['recrisgF5hqZ4NFRV'];90;MAX;2020-01-01T15:15:00.000Z
rec5hHiROSNNWUpom;2020-05-20T00:28:47.000Z;26;['recKpmQWGIzF8Xjhh'];['recryuNZFVbtSk92K'];0.2;MAX;2020-04-29T21:28:00.000Z
rec7MxyYmq5d8mZ8q;2020-05-09T15:44:01.000Z;6;['rec1xistMWeE0KKml'];['recSEwrC2O3ovnA5X'];0.75;MAX;2020-01-01T10:00:00.000Z
rec7OsPpaXWvx9fd0;2020-05-09T15:43:59.000Z;5;['rec5h9Pn336ZrO9Fw'];['recSEwrC2O3ovnA5X'];0.73;MAX;2020-01-01T10:00:00.000Z
recJbOIPOdB5x49sT;2020-05-09T14:58:13.000Z;1;['reclorU08L7PQsksS'];['recSEwrC2O3ovnA5X'];0.15;MAX;2020-01-01T10:00:00.000Z
recJigzoFJyS9myXe;2020-06-08T16:15:20.000Z;31;['recy0u3HVlJty3VwL'];['recbEnhKV5KdOgEoR'];0.5;MAX;2020-04-21T00:30:00.000Z
recOreWkZsgTGyEzS;2020-05-19T18:14:26.000Z;19;['rec81xw5f1J3kCbSf'];['recrisgF5hqZ4NFRV'];86;MAX;2020-04-23T15:15:00.000Z
recSqBuTlhpBBQNU8;2020-06-09T15:49:12.000Z;33;['rec81xw5f1J3kCbSf'];['recNErAHoNJWIdKcb'];60;MAX;2020-06-09T12:50:00.000Z
recTRWwW4DyEA1BCE;2020-05-18T19:33:12.000Z;14;['recprdtkN58G7j4Kf'];['recrisgF5hqZ4NFRV'];80;MAX;2020-01-01T15:07:00.000Z
recZN0I0te1eeOB3r;2020-05-16T14:39:06.000Z;12;['recbKuTK5JC1pGKbk'];['rectvYjSSnda2KzFN'];0.5;MAX;2020-03-25T21:08:00.000Z
reccQxBvokryL3ZMj;2020-05-09T14:58:13.000Z;3;['rec9RVJnupV6lA2mJ'];['recSEwrC2O3ovnA5X'];0.015;MAX;2020-01-01T10:00:00.000Z
recdh9DNm7s45cTLP;2020-05-23T20:35:28.000Z;27;['recYoi2Haywrfwoyl'];['recxgMb2Sqk07eRs5'];40;MAX;2019-10-01T17:36:00.000Z
recdvumBTqU39kSzg;2020-05-20T00:27:41.000Z;25;['rechoH1koxdMtaHG3'];['recryuNZFVbtSk92K'];0.3;MAX;2020-04-29T21:28:00.000Z
recf1BLgYaHTVlaOl;2020-06-09T13:48:45.000Z;32;['rec81xw5f1J3kCbSf'];['rectvYjSSnda2KzFN'];60;MAX;2020-03-25T10:49:00.000Z
recf95KfU44Y1aK6C;2020-05-09T15:43:55.000Z;4;['recuvTDABHnU7W5JX'];['recSEwrC2O3ovnA5X'];0.7;MAX;2020-01-01T10:00:00.000Z
rech5SQHXjql57nlZ;2020-06-08T16:13:18.000Z;30;['recNV5QcZPMaTMShN'];['recbEnhKV5KdOgEoR'];70;MAX;2020-04-21T00:30:00.000Z
reclStqRPzELgFPIF;2020-06-08T15:34:16.000Z;29;['recy0u3HVlJty3VwL'];['recCaJi63VbcehIQa'];0.6;MAX;2020-05-23T12:34:00.000Z
reclXn5Nq4oGPZ1E9;2020-05-20T00:27:23.000Z;24;['recbKuTK5JC1pGKbk'];['recryuNZFVbtSk92K'];0.4;MAX;2020-04-29T21:28:00.000Z
recokStJdAU97kwog;2020-05-09T16:09:45.000Z;8;['recYoi2Haywrfwoyl'];['recrisgF5hqZ4NFRV'];60;MAX;2020-01-01T10:00:00.000Z
recoz43ThuEW3BXqM;2020-05-19T18:06:58.000Z;16;['recprdtkN58G7j4Kf'];['recrisgF5hqZ4NFRV'];70;MAX;2020-02-20T15:07:00.000Z
recpW0dFmhpjqBmlJ;2020-06-08T15:33:15.000Z;28;['recNV5QcZPMaTMShN'];['recCaJi63VbcehIQa'];80;MAX;2020-05-23T12:33:00.000Z
recptVT1g9rKNCEpt;2020-05-19T18:07:07.000Z;17;['recprdtkN58G7j4Kf'];['recrisgF5hqZ4NFRV'];60;MAX;2020-05-07T15:07:00.000Z
recrASWst56ybmOtI;2020-05-16T16:44:23.000Z;13;['recasEDF0P6MHOt6p'];['recSEwrC2O3ovnA5X'];0.5;MAX;2020-01-01T10:00:00.000Z
recsqxrFGLvOuwRi3;2020-06-09T15:50:37.000Z;34;['recbKuTK5JC1pGKbk'];['recNErAHoNJWIdKcb'];0.5;MAX;2020-06-09T12:51:00.000Z
rectcBQF3vWt7K9Po;2020-05-09T14:58:13.000Z;2;['recl9raxpjCpYkuZP'];['recSEwrC2O3ovnA5X'];0.05;MAX;2020-01-01T10:00:00.000Z
recvHAbyYtqfAl9j4;2020-05-19T15:50:03.000Z;15;['recYoi2Haywrfwoyl'];['recrisgF5hqZ4NFRV'];30;MAX;2020-04-01T10:00:00.000Z
recx1zd8OVrUgN9Zg;2020-05-20T00:26:13.000Z;23;['recJSw1HFBmqFvMQT'];['recryuNZFVbtSk92K'];0.6;MAX;2020-04-29T10:00:00.000Z
recxzobqbWhCQwdzo;2020-05-09T15:44:35.000Z;7;['recHUbKQOWpS6BYGz'];['recSEwrC2O3ovnA5X'];0.6;MAX;2020-01-01T10:00:00.000Z
